customer_id,customer_name,city,subscription_type,join_date,age,is_active
1,Cindy Gardner,Hyderabad,Basic,2025-04-07,46,0
2,Tamara Rodriguez,Mumbai,Premium,2024-09-13,21,1
3,Olivia Davidson,Bangalore,Premium,2026-03-01,39,1
4,Jacob Ford,Chennai,Enterprise,2025-05-10,56,1
5,Douglas Browning,Mumbai,Basic,2023-12-03,39,1
6,Hector Matthews,Delhi,Enterprise,2025-04-05,55,0
7,Jessica Brown,Chennai,Premium,2023-12-12,24,0
8,Katrina Thomas,Pune,Premium,2024-10-28,53,1
9,Alexis Young,Delhi,Enterprise,2026-03-10,26,1
10,Matthew Chambers,Delhi,Enterprise,2025-06-20,25,1
11,Kelly Oconnor,Hyderabad,Basic,2024-02-03,57,1
12,Ryan Carter,Pune,Enterprise,2024-01-09,23,0
13,Dr. Thomas Munoz,Hyderabad,Enterprise,2024-03-06,58,1
14,Casey Smith,Bangalore,Basic,2023-07-02,63,1
15,Dr. Kendra Hale,Mumbai,Premium,2024-05-20,46,1
16,Maria Webb,Chennai,Enterprise,2025-10-10,40,1
17,Elizabeth Christian,Bangalore,Basic,2023-10-16,21,1
18,Caleb Palmer,Pune,Enterprise,2024-07-18,27,0
19,Steve Lamb,Pune,Basic,2026-02-25,53,1
20,Robert Moore,Mumbai,Premium,2026-01-11,25,1
21,Elizabeth Hayden,Bangalore,Premium,2025-05-13,31,1
22,Amanda Carlson,Pune,Enterprise,2025-09-08,40,0
23,Amanda Gonzalez,Chennai,Enterprise,2025-04-12,40,0
24,Casey Weaver,Mumbai,Premium,2026-05-04,28,0
25,John Jones,Chennai,Enterprise,2025-12-27,30,1
26,Sarah Logan,Bangalore,Enterprise,2026-04-13,34,1
27,Scott Scott,Mumbai,Enterprise,2024-08-02,61,1
28,Jessica Thomas,Pune,Premium,2024-07-22,37,0
29,Katherine Mills,Delhi,Enterprise,2025-10-27,48,1
30,Courtney Davenport,Delhi,Basic,2023-06-02,42,1
31,Phillip Patton,Chennai,Premium,2025-04-23,31,1
32,Gary Moore,Pune,Enterprise,2024-05-31,48,0
33,Larry Weiss,Delhi,Basic,2024-05-11,65,1
34,Kimberly Lewis,Pune,Basic,2023-05-28,44,1
35,Dylan Wright,Hyderabad,Basic,2025-03-17,23,1
36,Emily Rivera,Bangalore,Basic,2025-07-10,43,1
37,Tiffany Martinez,Chennai,Basic,2023-05-22,63,0
38,Katherine Hobbs,Bangalore,Enterprise,2026-01-10,47,1
39,Betty Young,Mumbai,Basic,2025-10-01,32,1
40,Cynthia Jones,Delhi,Basic,2024-03-08,42,1
41,Ashley Gilbert,Chennai,Enterprise,2024-05-29,36,1
42,Katherine Cordova,Mumbai,Enterprise,2023-08-20,27,1
43,Darren Lee,Delhi,Premium,2025-07-26,35,1
44,Rebecca Shepherd,Hyderabad,Premium,2026-03-12,40,1
45,Stephanie Gardner,Mumbai,Basic,2023-09-04,63,1
46,Bianca Nelson,Hyderabad,Premium,2025-03-16,38,0
47,Robert Anderson,Bangalore,Premium,2025-03-27,62,1
